%
% 1. Title: Protein Localization Sites
% 
% 
% 2. Creator and Maintainer:
% 	     Kenta Nakai
%              Institue of Molecular and Cellular Biology
% 	     Osaka, University
% 	     1-3 Yamada-oka, Suita 565 Japan
% 	     nakai@imcb.osaka-u.ac.jp
%              http://www.imcb.osaka-u.ac.jp/nakai/psort.html
%    Donor: Paul Horton (paulh@cs.berkeley.edu)
%    Date:  September, 1996
%    See also: yeast database
% 
% 3. Past Usage.
% Reference: "A Probablistic Classification System for Predicting the Cellular 
%            Localization Sites of Proteins", Paul Horton & Kenta Nakai,
%            Intelligent Systems in Molecular Biology, 109-115.
% 	   St. Louis, USA 1996.
% Results: 81% for E.coli with an ad hoc structured
% 	 probability model. Also similar accuracy for Binary Decision Tree and
% 	 Bayesian Classifier methods applied by the same authors in
% 	 unpublished results.
% 
% Predicted Attribute: Localization site of protein. ( non-numeric ).
% 
% 
% 4. The references below describe a predecessor to this dataset and its 
% development. They also give results (not cross-validated) for classification 
% by a rule-based expert system with that version of the dataset.
% 
% Reference: "Expert Sytem for Predicting Protein Localization Sites in 
%            Gram-Negative Bacteria", Kenta Nakai & Minoru Kanehisa,  
%            PROTEINS: Structure, Function, and Genetics 11:95-110, 1991.
% 
% Reference: "A Knowledge Base for Predicting Protein Localization Sites in
% 	   Eukaryotic Cells", Kenta Nakai & Minoru Kanehisa, 
% 	   Genomics 14:897-911, 1992.
% 
% 
% 5. Number of Instances:  336 for the E.coli dataset and 
% 
% 
% 6. Number of Attributes.
%          for E.coli dataset:  8 ( 7 predictive, 1 name )
% 	     
% 7. Attribute Information.
% 
%   1.  Sequence Name: Accession number for the SWISS-PROT database
%   2.  mcg: McGeoch's method for signal sequence recognition.
%   3.  gvh: von Heijne's method for signal sequence recognition.
%   4.  lip: von Heijne's Signal Peptidase II consensus sequence score.
%            Binary attribute.
%   5.  chg: Presence of charge on N-terminus of predicted lipoproteins.
% 	   Binary attribute.
%   6.  aac: score of discriminant analysis of the amino acid content of
% 	   outer membrane and periplasmic proteins.
%   7. alm1: score of the ALOM membrane spanning region prediction program.
%   8. alm2: score of ALOM program after excluding putative cleavable signal
% 	   regions from the sequence.
% 
% NOTE - the sequence name has been removed
% 
% 8. Missing Attribute Values: None.
% 
% 
% 9. Class Distribution. The class is the localization site. Please see Nakai &
% 		       Kanehisa referenced above for more details.
% 
%   cp  (cytoplasm)                                    143
%   im  (inner membrane without signal sequence)        77               
%   pp  (perisplasm)                                    52
%   imU (inner membrane, uncleavable signal sequence)   35
%   om  (outer membrane)                                20
%   omL (outer membrane lipoprotein)                     5
%   imL (inner membrane lipoprotein)                     2
%   imS (inner membrane, cleavable signal sequence)      2

@relation ecoli

@attribute mcg numeric
@attribute gvh numeric
@attribute lip numeric
@attribute chg numeric
@attribute aac numeric
@attribute alm1 numeric
@attribute alm2 numeric
@attribute class {cp,im,pp,imU,om,omL,imL,imS}

@data
0.7,0.4,0.48,0.5,0.56,0.86,0.83,im
0.33,0.45,0.48,0.5,0.52,0.32,0.41,cp
0.7,0.39,1.0,0.5,0.51,0.82,0.84,imL
0.5,0.51,0.48,0.5,0.27,0.23,0.34,cp
0.69,0.67,0.48,0.5,0.3,0.39,0.24,pp
0.62,0.78,0.48,0.5,0.47,0.49,0.54,pp
0.5,0.57,0.48,0.5,0.71,0.61,0.66,im
0.25,0.37,0.48,0.5,0.43,0.26,0.36,cp
0.74,0.82,0.48,0.5,0.49,0.49,0.41,pp
0.4,0.42,0.48,0.5,0.37,0.27,0.27,cp
0.64,0.45,0.48,0.5,0.67,0.61,0.66,imU
0.68,0.51,0.48,0.5,0.71,0.75,0.78,im
0.06,0.61,0.48,0.5,0.49,0.92,0.37,im
0.38,0.44,0.48,0.5,0.43,0.2,0.31,cp
0.68,0.82,0.48,0.5,0.38,0.65,0.56,pp
0.59,0.61,0.48,0.5,0.42,0.42,0.37,pp
0.75,0.76,0.48,0.5,0.83,0.57,0.3,om
0.71,0.86,0.48,0.5,0.4,0.54,0.32,pp
0.83,0.37,0.48,0.5,0.61,0.71,0.74,im
0.48,0.42,0.48,0.5,0.45,0.25,0.35,cp
0.41,0.57,0.48,0.5,0.39,0.21,0.32,cp
0.32,0.33,0.48,0.5,0.6,0.06,0.2,cp
0.63,0.71,0.48,0.5,0.6,0.4,0.39,pp
0.66,0.86,0.48,0.5,0.34,0.41,0.36,pp
0.25,0.37,0.48,0.5,0.41,0.33,0.42,cp
0.64,0.84,0.48,0.5,0.37,0.45,0.4,pp
0.74,0.78,0.48,0.5,0.75,0.54,0.15,om
0.51,0.4,0.48,0.5,0.57,0.62,0.67,im
0.52,0.36,0.48,0.5,0.41,0.28,0.38,cp
0.59,0.29,0.48,0.5,0.64,0.75,0.77,imU
0.65,0.57,0.48,0.5,0.47,0.47,0.51,pp
0.51,0.5,0.48,0.5,0.46,0.32,0.35,cp
0.44,0.35,0.48,0.5,0.44,0.52,0.59,cp
0.27,0.35,0.48,0.5,0.51,0.77,0.79,im
0.33,0.47,0.48,0.5,0.53,0.18,0.29,cp
0.59,0.49,0.48,0.5,0.52,0.45,0.36,cp
0.56,0.4,0.48,0.5,0.49,0.37,0.46,cp
0.42,0.38,0.48,0.5,0.54,0.34,0.43,cp
0.25,0.26,0.48,0.5,0.39,0.32,0.42,cp
0.63,0.75,0.48,0.5,0.64,0.73,0.66,im
0.78,0.33,0.48,0.5,0.57,0.77,0.79,imU
0.36,0.45,0.48,0.5,0.38,0.79,0.17,im
0.4,0.46,0.48,0.5,0.52,0.49,0.56,cp
0.6,0.5,1.0,0.5,0.54,0.77,0.8,im
0.63,0.49,0.48,0.5,0.54,0.76,0.79,imS
0.6,0.61,0.48,0.5,0.54,0.67,0.71,im
0.63,0.69,0.48,0.5,0.65,0.41,0.28,om
0.52,0.57,0.48,0.5,0.42,0.47,0.54,cp
0.57,0.38,0.48,0.5,0.06,0.49,0.33,imU
0.11,0.5,0.48,0.5,0.58,0.72,0.68,im
0.0,0.38,0.48,0.5,0.42,0.48,0.55,cp
0.52,0.54,0.48,0.5,0.62,0.76,0.79,im
0.26,0.5,0.48,0.5,0.44,0.32,0.41,cp
0.52,0.44,0.48,0.5,0.37,0.36,0.42,cp
0.47,0.55,0.48,0.5,0.58,0.71,0.75,im
0.23,0.58,0.48,0.5,0.37,0.53,0.59,cp
0.58,0.34,0.48,0.5,0.56,0.87,0.81,im
0.63,0.8,0.48,0.5,0.46,0.31,0.29,pp
0.68,0.63,0.48,0.5,0.73,0.4,0.3,om
0.42,0.4,0.48,0.5,0.56,0.18,0.3,cp
0.25,0.4,0.48,0.5,0.47,0.33,0.42,cp
0.73,0.26,0.48,0.5,0.57,0.75,0.78,imU
0.79,0.41,0.48,0.5,0.66,0.81,0.83,imU
0.67,0.55,1.0,0.5,0.66,0.58,0.16,omL
0.41,0.51,0.48,0.5,0.53,0.75,0.78,im
0.81,0.52,0.48,0.5,0.57,0.78,0.8,imU
0.57,0.54,0.48,0.5,0.37,0.28,0.33,cp
0.49,0.43,0.48,0.5,0.49,0.3,0.4,cp
0.44,0.34,0.48,0.5,0.3,0.33,0.43,cp
0.47,0.29,0.48,0.5,0.51,0.33,0.43,cp
